epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,122.486,0.63405,0.73317,1.12756,0.84021,0.48256,0.54721,0.2685,1.77536,1.994,1.46589,2.29819e-05,2.29819e-05,2.29819e-05
77,124.072,0.68079,0.65878,1.11163,0.84021,0.48256,0.54721,0.2685,1.77536,1.994,1.46589,2.23929e-05,2.23929e-05,2.23929e-05
78,125.711,0.8734,1.00201,1.18443,0.83367,0.48814,0.5442,0.26804,1.73868,2.01269,1.44935,2.17805e-05,2.17805e-05,2.17805e-05
79,127.264,0.58982,0.74867,1.08413,0.83367,0.48814,0.5442,0.26804,1.73868,2.01269,1.44935,2.11444e-05,2.11444e-05,2.11444e-05
80,128.904,0.72161,0.72332,1.18037,0.83367,0.48814,0.5442,0.26804,1.73868,2.01269,1.44935,2.04848e-05,2.04848e-05,2.04848e-05
81,130.535,0.51219,0.50347,0.9737,0.84247,0.48003,0.53436,0.26405,1.77679,2.05556,1.47669,1.98016e-05,1.98016e-05,1.98016e-05
82,132.081,0.80749,0.67159,1.14315,0.84247,0.48003,0.53436,0.26405,1.77679,2.05556,1.47669,1.90949e-05,1.90949e-05,1.90949e-05
83,133.683,0.76653,0.82206,1.19686,0.84247,0.48003,0.53436,0.26405,1.77679,2.05556,1.47669,1.83646e-05,1.83646e-05,1.83646e-05
84,135.202,0.78339,0.56559,1.20376,0.84075,0.48416,0.53726,0.26773,1.82599,2.08471,1.50323,1.76107e-05,1.76107e-05,1.76107e-05
85,136.758,0.56579,0.72749,1.1084,0.84075,0.48416,0.53726,0.26773,1.82599,2.08471,1.50323,1.68333e-05,1.68333e-05,1.68333e-05
86,138.307,0.73585,0.66171,1.10114,0.84075,0.48416,0.53726,0.26773,1.82599,2.08471,1.50323,1.60323e-05,1.60323e-05,1.60323e-05
87,139.919,0.75008,0.79202,1.04976,0.84075,0.48416,0.53726,0.26773,1.82599,2.08471,1.50323,1.52077e-05,1.52077e-05,1.52077e-05
88,141.53,0.7895,0.85675,1.37921,0.83939,0.48347,0.53434,0.26768,1.83383,2.07499,1.50487,1.43596e-05,1.43596e-05,1.43596e-05
89,143.103,0.99055,0.92342,1.47961,0.83939,0.48347,0.53434,0.26768,1.83383,2.07499,1.50487,1.34879e-05,1.34879e-05,1.34879e-05
90,144.716,0.64873,0.64172,1.01074,0.83939,0.48347,0.53434,0.26768,1.83383,2.07499,1.50487,1.25927e-05,1.25927e-05,1.25927e-05
91,146.285,0.4593,0.51923,0.89124,0.83939,0.48347,0.53434,0.26768,1.83383,2.07499,1.50487,1.16739e-05,1.16739e-05,1.16739e-05
92,147.898,0.71212,0.69936,0.99338,0.83643,0.48474,0.53535,0.27788,1.83665,2.02832,1.48941,1.07315e-05,1.07315e-05,1.07315e-05
93,149.507,0.47717,0.45816,0.98553,0.83643,0.48474,0.53535,0.27788,1.83665,2.02832,1.48941,9.76562e-06,9.76562e-06,9.76562e-06
94,151.014,0.54858,0.43419,0.88568,0.83643,0.48474,0.53535,0.27788,1.83665,2.02832,1.48941,8.77613e-06,8.77613e-06,8.77613e-06
95,152.473,0.43484,0.45118,0.89791,0.83643,0.48474,0.53535,0.27788,1.83665,2.02832,1.48941,7.76308e-06,7.76308e-06,7.76308e-06
96,154.008,0.43956,0.50667,0.96138,0.8412,0.46486,0.55785,0.3054,1.75547,1.95471,1.44248,6.72648e-06,6.72648e-06,6.72648e-06
97,155.487,0.68983,0.60565,1.0489,0.8412,0.46486,0.55785,0.3054,1.75547,1.95471,1.44248,5.6663e-06,5.6663e-06,5.6663e-06
98,156.913,0.51749,0.48602,0.90987,0.8412,0.46486,0.55785,0.3054,1.75547,1.95471,1.44248,4.58257e-06,4.58257e-06,4.58257e-06
99,158.487,0.47575,0.46362,0.90951,0.8412,0.46486,0.55785,0.3054,1.75547,1.95471,1.44248,3.47528e-06,3.47528e-06,3.47528e-06
100,160.08,0.55718,0.49071,1.00202,0.83607,0.46667,0.60765,0.3397,1.7088,1.87493,1.4139,2.34442e-06,2.34442e-06,2.34442e-06
